Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.56.101-192.168.56.102-80-53858-6,192.168.56.102,53858,192.168.56.101,80,6,04/02/2026 10:17:34 PM,1301,4,3,121.0,928.0,121.0,0.0,30.25,60.5,928.0,0.0,309.3333333333333,535.7810498079726,806302.8439661798,5380.476556495004,216.83333333333331,251.8749028122228,729.0,71.0,1056.0,352.0,435.77861351837817,854.0,71.0,1045.0,522.5,560.7356774809322,919.0,126.0,0,0,0,0,128,112,3074.558032282859,2305.9185242121443,0.0,928.0,131.12499999999997,324.7581242797696,105467.83928571428,0,1,0,0,0,0,0,0,0.0,149.85714285714286,30.25,309.3333333333333,0,0,0,0,0,0,4,121,3,928,-1,255,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force Attack
192.168.56.101-192.168.56.102-445-54694-6,192.168.56.101,445,192.168.56.102,54694,6,04/02/2026 09:55:02 PM,43,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46511.62790697674,43.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,23255.81395348837,23255.81395348837,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force Attack
192.168.56.101-192.168.56.102-3389-49748-6,192.168.56.101,3389,192.168.56.102,49748,6,04/02/2026 10:09:57 PM,10205175,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1959790008500589,10205175.0,0.0,10205175.0,10205175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,0.0979895004250294,0.0979895004250294,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force Attack
192.168.56.101-192.168.56.102-3389-34440-6,192.168.56.102,34440,192.168.56.101,3389,6,04/02/2026 10:11:04 PM,468,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8547.008547008547,156.0,11.532562594670797,168.0,145.0,155.0,155.0,0.0,155.0,155.0,168.0,168.0,0.0,168.0,168.0,0,0,0,0,64,80,4273.504273504273,4273.504273504273,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,64000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force Attack
192.168.56.101-192.168.56.102-445-60502-6,192.168.56.101,445,192.168.56.102,60502,6,04/02/2026 05:56:58 AM,31,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64516.12903225806,31.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,32258.06451612903,32258.06451612903,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force Attack
192.168.56.101-192.168.56.102-445-52810-6,192.168.56.101,445,192.168.56.102,52810,6,04/02/2026 09:58:16 PM,16,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,16.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,62500.0,62500.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force Attack
192.168.56.101-192.168.56.102-445-42578-6,192.168.56.101,445,192.168.56.102,42578,6,04/02/2026 09:48:37 PM,18,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111111.11111111112,18.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,55555.55555555556,55555.55555555556,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force Attack
192.168.56.101-192.168.56.102-445-36606-6,192.168.56.102,36606,192.168.56.101,445,6,04/02/2026 05:58:18 AM,586,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6825.938566552901,195.3333333333333,154.3707657988822,373.0,94.0,373.0,373.0,0.0,373.0,373.0,94.0,94.0,0.0,94.0,94.0,0,0,0,0,64,80,3412.9692832764504,3412.9692832764504,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,65535,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force Attack
192.168.56.101-192.168.56.102-445-56340-6,192.168.56.101,445,192.168.56.102,56340,6,04/02/2026 06:05:25 AM,14,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142857.14285714287,14.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,71428.57142857143,71428.57142857143,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force Attack
192.168.56.101-192.168.56.102-80-41332-6,192.168.56.101,80,192.168.56.102,41332,6,04/02/2026 10:18:41 PM,1052,2,5,928.0,121.0,928.0,0.0,464.0,656.1950929411161,121.0,0.0,24.2,54.11284505549492,997148.288973384,6653.992395437263,175.33333333333331,84.03015331811947,323.0,81.0,584.0,584.0,0.0,584.0,584.0,1052.0,263.0,158.73037936492602,454.0,81.0,0,0,0,0,72,168,1901.1406844106464,4752.851711026616,0.0,928.0,131.12499999999997,324.7581242797696,105467.83928571428,0,1,0,0,0,0,0,0,2.0,149.85714285714286,464.0,24.2,0,0,0,0,0,0,2,928,5,121,-1,248,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force Attack
192.168.56.101-192.168.56.102-445-53100-6,192.168.56.101,445,192.168.56.102,53100,6,04/02/2026 09:58:24 PM,57,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35087.71929824561,57.0,0.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,32,17543.859649122805,17543.859649122805,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,255,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force Attack
