Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,__source_file
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,04/02/2026 10:33:38 PM,43033799,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1859003895984177,6147685.571428572,11427236.716349712,31261478.0,10.0,43033775.0,7172295.833333334,12160573.456044933,31261478.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.1626628408986155,0.0232375486998022,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,1,0,-1,-1,0,0,80.66666666666666,110.495852109178,208.0,10.0,14344451.333333334,14675810.82558556,31261478.0,5025659.0,Probe Attack,
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,04/02/2026 10:35:45 PM,104417215,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0766157189693289,14916745.0,18604967.603451155,35044823.0,21.0,104417192.0,17402865.333333332,19064498.71387463,35044823.0,21.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0670387540981628,0.0095769648711661,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,1,0,-1,-1,0,0,25.33333333333333,5.859465277082316,32.0,21.0,34805705.666666664,247432.87130317453,35044823.0,34550721.0,Probe Attack,
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,04/02/2026 10:38:00 PM,104540684,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1147878466148164,9503698.545454543,15351161.861987334,34408934.0,14.0,104540666.0,10454066.6,15836770.738549111,34408934.0,14.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.1052221927302484,0.009565653884568,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,11,0,1,0,-1,-1,0,0,1526901.0,2644641.531290583,4580670.0,14.0,33319986.33333333,943484.3433753063,34408934.0,32747097.0,Probe Attack,
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,04/02/2026 10:40:17 PM,32799032,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1829322279998995,6559806.4,9012830.232706944,17448154.0,21.0,32799008.0,8199752.0,9506769.584445216,17448154.0,21.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.1524435233332496,0.0304887046666499,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,1,0,-1,-1,0,0,116.5,130.8147545195113,209.0,24.0,16399389.0,1483177.6867422191,17448154.0,15350624.0,Probe Attack,
192.168.56.100-192.168.56.101-67-68-17,192.168.56.101,68,192.168.56.100,67,17,04/02/2026 10:38:00 PM,2252,0,2,0.0,864.0,0.0,0.0,0.0,0.0,548.0,316.0,432.0,164.048773235279,383658.9698046181,888.0994671403197,2252.0,0.0,2252.0,2252.0,0.0,0.0,0.0,0.0,0.0,2252.0,2252.0,0.0,2252.0,2252.0,0,0,0,0,0,16,0.0,888.0994671403197,316.0,548.0,393.3333333333333,133.94526245199316,17941.333333333332,0,0,0,0,0,0,0,0,0.0,590.0,0.0,432.0,0,0,0,0,0,0,0,0,2,864,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe Attack,
192.168.56.101-224.0.0.22-0-0-0,192.168.56.101,0,224.0.0.22,0,0,04/02/2026 10:38:00 PM,77873,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.20710644254106,19468.25,34539.53500338416,71115.0,213.0,71756.0,23918.666666666668,40873.36499890037,71115.0,213.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,51.36568515403285,12.841421288508212,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe Attack,
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,04/02/2026 10:42:55 PM,9448740,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5291710852452284,2362185.0,2730830.4182861056,4888826.0,27.0,4559914.0,1519971.3333333335,2632529.011850455,4559754.0,27.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.4233368681961827,0.1058342170490456,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe Attack,
192.168.56.100-192.168.56.101-67-68-17,192.168.56.101,68,192.168.56.100,67,17,04/02/2026 10:43:00 PM,2279,0,2,0.0,864.0,0.0,0.0,0.0,0.0,548.0,316.0,432.0,164.048773235279,379113.6463361123,877.5778850372969,2279.0,0.0,2279.0,2279.0,0.0,0.0,0.0,0.0,0.0,2279.0,2279.0,0.0,2279.0,2279.0,0,0,0,0,0,16,0.0,877.5778850372969,316.0,548.0,393.3333333333333,133.94526245199316,17941.333333333332,0,0,0,0,0,0,0,0,0.0,590.0,0.0,432.0,0,0,0,0,0,0,0,0,2,864,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe Attack,
192.168.56.101-224.0.0.22-0-0-0,192.168.56.101,0,224.0.0.22,0,0,04/02/2026 10:43:00 PM,56704,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.17720090293454,14176.0,22996.81704062543,48572.0,257.0,52562.0,17520.666666666664,26947.349040922996,48572.0,257.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,70.54176072234763,17.635440180586908,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe Attack,
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,04/02/2026 10:47:55 PM,9361449,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5341053505712631,2340362.25,2704812.1158418595,4821803.0,15.0,4539646.0,1513215.3333333335,2620874.041708288,4539540.0,15.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.4272842804570104,0.1068210701142526,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probe Attack,
